item_id,price,quantity
214507331,414612,132
214507365,15022,95
214507385,8176,277
214507387,8244,370
214507408,4800,98
214507415,8460,100
214507445,3340,224
214507447,9072,240
214507492,14085,138
214507556,6260,86
214507610,7106,336
214507708,4382,90
214507802,5170,59
214508000,0,0
214508027,2977,157
214508225,5161,134
214508244,6240,286
214508287,171544,250
214508304,27084,63
214508308,32940,91
214508321,47019,1
214508347,50228,25
214508377,0,0
214508379,65869,1
214508439,10677,12
214508475,18029,239
214508488,0,0
214508531,37386,3
214508535,2336,62
214508537,49848,4
214508555,2090,19
214508557,39564,14
214508563,56223,21
214508576,6596,1
214508585,75392,8
214508852,53931,1
214508942,5490912,189
214508964,46809,3
214509000,878878,77
214509002,141360,15
214509013,4235956,56
214509035,158859,3
214509037,52150,3
214509039,136556,6
214509041,542450,23
214509071,42412,1
214509073,0,0
214509084,1834513,180
214509090,11414,1
214509125,65338,13
214509127,6276,4
214509133,0,0
214509135,9940,5
214509142,8376,2
214509144,53397,17
214509146,5234,2
214509148,72864,26
214509150,23553,10
214509152,36640,12
214509155,17586,8
214509157,14656,4
214509161,20416,3
214509163,33504,4
214509172,14657,2
214509174,6072,4
214509176,0,0
214509178,0,0
214509195,6910,2
214509206,7850,5
214509260,1224594,6
214509264,0,0
214509266,0,0
214509270,0,0
214509296,7535,4
214509298,0,0
214509300,16332,6
214509305,6696,4
214509307,5650,4
214509311,1884,3
214509313,3768,4
214509320,26379,10
214509328,0,0
214509341,0,0
214509352,0,0
214509354,3036,1
214509356,3978,2
214509358,3036,1
214509362,0,0
214509365,2092,1
214509375,0,0
214509399,28795,5
214509401,798973,393
214509403,27745,5
214509517,41783,1
214509525,13986,57
214509527,5180,17
214509549,1256,2
214509570,0,0
214509572,4080,5
214509587,2720,2
214509590,0,0
214509592,2093,1
214509600,2617,1
214509605,0,0
214509607,0,0
214509609,4185,6
214509611,941,1
214509615,0,0
214509628,1151,1
214509630,837,1
214509632,941,1
214509635,0,0
214509637,3138,3
214509639,3762,6
214509641,0,0
214509645,0,0
214509650,0,0
214509652,5234,2
214509654,0,0
214509656,4816,2
214509658,5234,2
214509665,2512,1
214509667,0,0
214509673,3141,1
214509690,2512,1
214509699,5024,3
214509701,7536,3
214509703,2826,1
214509716,3141,1
214509720,0,0
214509725,0,0
214509729,0,0
214509731,2198,1
214509733,0,0
214509735,0,0
214509737,10048,4
214509740,12040,5
214509746,2826,1
214509748,5444,2
214509750,4892,68
214509752,2303,1
214509755,0,0
214509757,2617,1
214509759,5444,2
214509761,2512,1
214509763,2512,2
214509770,2093,1
214509778,6282,2
214509780,2512,1
214509782,2826,1
214509785,0,0
214509787,51825,17
214509795,4083,1
214509797,0,0
214509830,160200,18
214509842,113888,32
214509845,216144,16
214509855,12462,1
214509864,31384,15
214509870,210797,12
214509877,2556,34
214509879,730,4
214509881,836,4
214509892,313,24
214509907,836,3
214509909,1878,23
214509911,502,1
214509913,0,0
214509915,2424,14
214509920,2256,18
214509930,523,3
214509939,4392,43
214509943,7322,76
214509980,1464,26
214509982,1464,4
214509984,5124,15
214510044,2391093,177
214510048,14028,7
214510057,5862,2
214510070,58632,14
214510074,24185,7
214510089,4921,2
214510091,14239,2
214510108,5235,1
214510117,20839,1
214510205,10996,1
214510209,8376,2
214510215,43968,6
214510445,10840334,1328
214510447,1456164,117
214510449,207552,14
214510451,512806,32
214510453,189544,8
214510455,90792,3
214510460,724176,268
214510689,95924,5
214510700,511658,14
214510712,6276,6
214510727,2092,2
214510730,5649,3
214510738,408369,39
214510755,83766,10
214510757,350745,82
214510772,34348,2
214510775,110346,45
214510777,76424,17
214510779,3105,82
214510781,74861,11
214510783,188440,40
214510785,95274,12
214510802,87336,6
214510805,112249,11
214510807,35360,116
214510820,75379,9
214510854,1011123,97
214510875,80109,5
214511006,2196,4
214511015,341311,83
214511047,92145,10
214511053,3138,8
214511055,4705,9
214511057,2720,6
214511060,0,0
214511062,1360,1
214511068,1254,5
214511070,71820,15
214511072,48367,11
214511075,80412,14
214511083,4816,2
214511092,9422,5
214511102,1674,1
214511109,2302,2
214511111,3664,1
214511115,1151,1
214511117,38528,17
214511120,2930,2
214511152,0,0
214511195,3348,2
214511265,1046,1
214511319,5860,4
214511402,9947,1
214511465,466992,52
214511488,52350,12
214511501,83760,19
214511664,45656,4
214511696,608280,84
214511743,10471,1
214511790,0,0
214511803,252833,49
214511816,6282,1
214511840,5235,1
214511852,56544,6
214511870,83768,8
214511900,25125,3
214511932,0,0
214511953,2617,1
214511966,13185,7
214512000,0,0
214512080,8160,7
214512122,32006,19
214512137,33784,20
214512152,32656,26
214512172,0,0
214512189,49735,5
214512236,126594,13
214512262,184272,22
214512277,91312,8
214512412,5549,1
214512414,50256,8
214512416,961920,85
214512420,36024,2
214512425,1424476,139
214512427,13820,4
214512429,99464,12
214512431,249163,29
214512444,32358,1
214512457,20839,1
214512476,79039,11
214512482,0,0
214512504,193103,6
214512506,122208,3
214512547,0,0
214512605,69102,22
214512611,433504,47
214512626,0,0
214512630,25104,19
214512635,10044,9
214512645,6282,2
214512647,25128,11
214512650,9423,7
214512652,5862,2
214512654,3036,3
214512656,9417,5
214512658,6696,4
214512660,2826,1
214512662,2930,2
214512665,6696,5
214512667,7224,6
214512669,13506,3
214512671,62820,16
214512673,23555,10
214512675,23555,8
214512680,0,0
214512682,15496,7
214513061,143886,6
214513063,97600,8
214513065,43144,5
214513155,50258,6
214513170,64914,17
214513284,83705,50
214513286,33480,29
214513288,2720,3
214513290,5753,12
214513295,0,0
214513297,0,0
214513299,3348,2
214513301,0,0
214513314,8793,3
214513322,0,0
214513329,1989,1
214513331,3768,2
214513333,3766,5
214513335,7224,3
214513337,0,0
214513340,2826,1
214513342,5024,3
214513346,5444,3
214513348,2408,1
214513350,2512,1
214513352,10888,4
214513355,5652,2
214513357,8166,3
214513359,15067,10
214513361,3766,7
214513363,5335,4
214513365,3348,5
214513370,4710,4
214513374,16947,9
214513376,5334,12
214513378,3348,3
214513380,1778,2
214513382,1256,1
214513387,1360,1
214513389,0,0
214513393,3558,2
214513397,0,0
214513402,0,0
214513404,0,0
214513406,2408,1
214513408,6280,4
214513415,5860,4
214513417,1360,1
214513421,2720,2
214513425,1674,2
214514220,9422,4
214514222,5759,1
214514225,25130,8
214514227,30365,7
214514229,80100,9
214514231,31413,4
214514233,7850,8
214514235,20936,11
214514237,18319,9
214514240,31086,12
214514242,11934,5
214514244,35182,7
214514246,14649,7
214514248,12564,4
214514250,12040,5
214514252,6490,2
214514255,51821,17
214514257,52350,15
214514259,6280,4
214514261,39765,29
214514263,25110,13
214514265,62259,32
214514267,50568,34
214514270,52758,18
214514272,23019,14
214514274,18319,8
214514276,45752,39
214514278,48990,23
214514280,128780,48
214514282,114646,37
214514285,2720,4
214514287,97340,118
214514289,17900,9
214514291,82884,51
214514293,77433,64
214514295,141318,60
214514317,33497,29
214514319,14648,11
214514321,28896,12
214514323,41880,8
214514325,54444,16
214514527,37594,1
214514540,0,0
214514640,334684,4
214514732,0,0
214514780,0,0
214515823,388092,15
214515825,377727,13
214515830,1211707,29
214515834,804034,22
214515836,98960,5
214515842,482532,42
214515845,78525,15
214515847,214991,12
214515870,105347,4
214515872,488940,11
214515881,0,0
214515883,2303392,104
214515999,13600,8
214516005,40833,13
214516012,50320,39
214516014,188460,51
214516020,66787,37
214516027,45741,25
214516031,56532,12
214516033,170105,65
214516040,0,0
214516042,17787,10
214516048,36638,15
214516055,62820,23
214516065,43635,28
214516080,5234,2
214516085,91668,48
214516087,88091,76
214516108,67008,16
214516110,9423,3
214516112,7642,1
214516115,0,0
214516117,6282,3
214516123,1046,2
214516125,75384,12
214516127,34554,6
214516136,67824,24
214516138,28795,5
214516140,3874,1
214516142,54443,8
214516147,62826,6
214516149,40830,11
214516181,187970,5
214516183,54350,1
214516187,418040,8
214516190,0,0
214516192,165248,2
214516194,28170,1
214516196,37594,1
214516213,0,0
214516708,3250,406
214516723,11280,236
214516738,65898,378
214516740,5321,161
214516749,17520,360
214516766,2196,16
214516768,80070,453
214516790,73656,302
214516794,8778,68
214516895,5235,1
214517443,23535,304
214517445,10152,167
214517450,104720,348
214517452,3660,16
214517454,6276,14
214517880,938075,113
214518555,27196,236
214518594,6276,58
214518626,3450,29
214518637,12233,57
214518639,6504,118
214518641,7524,40
214518643,16938,52
214518650,0,0
214518652,6573,128
214518690,7524,61
214518707,0,0
214518817,4351,151
214518823,20598,146
214518836,4301,200
214523606,54205,141
214523610,5124,12
214523632,14646,8
214523679,7368,176
214523681,5420,76
214523690,3654,135
214523692,1566,64
214523700,27857,936
214523709,55760,187
214526000,6525,148
214526083,52271,856
214526190,28260,60
214526197,2930,2
214526657,15702,6
214527028,73288,10
214527519,30144,19
214530247,0,0
214530264,13598,13
214530373,0,0
214530386,62727,1
214530450,18844,5
214530457,277978,44
214530465,0,0
214530474,13085,5
214530485,13818,6
214530487,0,0
214530491,65968,7
214530497,0,0
214530500,7956,2
214530502,13191,3
214530506,4397,1
214530527,10154,3
214530542,19370,5
214530549,14556,1
214530551,6282,2
214530555,109430,5
214530572,99991,17
214530575,56752,9
214530665,240010,20
214530667,0,0
214530686,29217,1
214530695,26075,1
214530697,35396,4
214530701,66706,4
214530703,18745,1
214530705,164204,16
214530710,137179,12
214530712,6282,1
214530716,16650,2
214530718,25970,2
214530725,6596,2
214530729,222311,16
214530731,56130,7
214530733,29319,3
214530735,21986,4
214530737,11518,2
214530774,37490,2
214530776,0,0
214530778,7329,1
214530780,4711,1
214530782,30992,10
214530787,59376,3
214530789,178007,17
214530791,9947,1
214530793,3141,1
214530795,0,0
214530800,20839,1
214530802,0,0
214530842,20839,1
214530857,0,0
214530860,0,0
214530866,18745,1
214530875,7329,1
214530879,20839,1
214530885,0,0
214530887,27018,2
214530890,9424,1
214530900,0,0
214530905,7015,1
214530907,7853,1
214530922,24924,2
214530945,20942,2
214530947,29217,1
214530952,0,0
214530958,12462,1
214530982,52150,2
214530997,37386,3
214531003,3141,2
214531007,20942,2
214531010,19792,1
214531012,39584,2
214531016,18848,3
214531018,0,0
214531022,13509,1
214531074,3645,381
214531130,93618,6
214531132,13820,8
214531134,29839,8
214531136,6282,2
214531138,6072,2
214531142,12564,2
214531145,30783,3
214531147,0,0
214531151,281799,9
214531153,48066,1
214531155,6805,2
214531305,0,0
214531314,28266,6
214531318,0,0
214531320,0,0
214531322,15705,7
214531327,3141,1
214531329,7851,3
214531333,2617,2
214531335,4184,3
214531337,6277,3
214531352,47110,10
214531355,23555,5
214531357,51714,19
214531359,65118,14
214531361,8691,1
214531365,6492,1
214531372,26489,5
214531376,82503,13
214531393,40830,10
214531395,6282,3
214531397,4184,2
214531410,21975,17
214531434,1989,1
214531436,14658,2
214531440,80100,9
214531464,0,0
214531466,12462,1
214531475,20400,15
214531483,6804,3
214531502,17693,4
214531505,164885,35
214531509,26488,30
214531513,98292,45
214531517,40833,14
214531532,6588,46
214531543,49210,10
214531545,58314,19
214531550,41979,14
214531560,33504,8
214531565,9423,3
214531584,3504,115
214531597,10048,5
214531599,9423,3
214531610,14133,4
214531612,25021,7
214531618,55272,26
214531620,15912,9
214531622,9214,2
214531659,133499,17
214531717,3243,3
214531802,4816,2
214531822,1360,1
214531830,0,0
214531877,2302,3
214531890,19890,5
214531895,11292,12
214531899,627,1
214531901,1674,3
214531903,8790,7
214531905,5024,4
214531907,32970,15
214531910,4382,21
214531914,6282,2
214531916,10048,9
214531925,5124,9
214531929,1882,2
214531937,19874,22
214531948,4184,8
214531950,3138,9
214531955,0,0
214531957,1465,1
214531961,1256,2
214531965,5646,6
214531967,1674,5
214531997,10992,3
214532000,13506,6
214532002,5966,3
214532006,1674,3
214532008,2092,5
214532038,146398,2
214532040,29527,6
214532051,42718,8
214532064,84816,9
214532070,240179,107
214532072,357650,158
214532098,0,0
214532105,31311,1
214532107,91080,32
214532111,15912,4
214532113,226746,59
214532141,23015,11
214532143,5652,3
214532147,22828,2
214532150,10471,1
214532154,8900,1
214532156,2093,1
214532158,7539,1
214532182,3141,1
214532197,6276,3
214532267,16754,2
214532287,6280,4
214532295,10470,2
214532300,9422,2
214532302,31408,4
214532310,9423,3
214532312,6278,4
214532349,32976,10
214532351,25434,9
214532370,2617,1
214532377,3766,2
214532452,5234,2
214532484,43552,16
214532505,113100,6
214532510,0,0
214532516,837,1
214532544,26367,16
214532565,4710,3
214532567,11506,11
214532597,5967,3
214532670,0,0
214532672,0,0
214532705,0,0
214532715,2617,1
214532730,7328,1
214532732,0,0
214532739,0,0
214532752,4080,3
214532758,0,0
214532760,1778,1
214532762,0,0
214532767,0,0
214532771,6276,3
214532773,1778,1
214532777,8368,4
214532782,3664,1
214532788,0,0
214532790,4816,2
214532801,0,0
214532812,0,0
214532831,0,0
214532833,3874,1
214532835,17382,2
214532837,0,0
