item_id,clicks
214507331,13517
214507365,1673
214507385,726
214507387,738
214507408,489
214507415,1033
214507447,1010
214507492,2268
214507500,5
214507556,592
214507610,780
214507708,563
214507802,380
214507955,1
214508027,513
214508225,251
214508237,639
214508244,640
214508287,18528
214508291,89
214508304,2299
214508308,1858
214508321,543
214508347,606
214508375,404
214508377,926
214508379,1302
214508432,981
214508439,479
214508475,2091
214508488,109
214508497,69
214508503,106
214508512,10
214508531,640
214508535,601
214508555,277
214508557,350
214508563,3665
214508570,449
214508576,492
214508585,1146
214508842,55
214508852,2255
214508855,924
214508942,10990
214508962,3
214508964,836
214508998,206
214509000,4996
214509002,2300
214509005,3
214509007,14
214509013,26147
214509032,6
214509035,7081
214509037,501
214509039,3572
214509041,2859
214509047,5
214509054,23
214509071,1406
214509073,2191
214509082,2700
214509084,19641
214509086,150
214509090,853
214509110,35
214509125,4341
214509127,1513
214509133,2398
214509135,1569
214509142,2681
214509144,2678
214509148,4748
214509152,2974
214509155,2054
214509157,897
214509161,1449
214509163,1169
214509174,821
214509176,479
214509178,381
214509195,812
214509206,613
214509219,37
214509260,3495
214509262,117
214509264,172
214509266,174
214509270,129
214509296,332
214509298,118
214509300,179
214509305,116
214509307,206
214509311,44
214509320,299
214509328,80
214509339,19
214509341,49
214509345,54
214509350,18
214509352,63
214509356,125
214509358,78
214509365,115
214509373,11
214509384,36
214509397,166
214509399,3525
214509401,14066
214509403,3167
214509407,49
214509517,384
214509519,701
214509525,1619
214509527,337
214509530,547
214509540,35
214509549,29
214509555,57
214509557,24
214509560,15
214509568,18
214509570,82
214509572,237
214509583,30
214509585,20
214509587,76
214509590,75
214509592,93
214509600,296
214509602,43
214509605,34
214509607,63
214509615,95
214509620,36
214509624,27
214509630,46
214509632,54
214509635,67
214509637,56
214509639,249
214509641,51
214509647,182
214509650,241
214509654,116
214509656,82
214509658,75
214509660,91
214509662,34
214509665,66
214509671,26
214509673,56
214509677,41
214509688,30
214509690,55
214509695,32
214509699,91
214509701,130
214509705,26
214509707,83
214509710,40
214509712,56
214509714,36
214509720,57
