session,sales,duration,clicks,items,buy
9,0,169.352,3,1,0
137,0,25.847,4,2,0
393,0,977.112,2,1,0
521,0,117.177,3,3,0
649,0,32.202,2,2,0
777,0,90.378,2,1,0
1033,0,20.657,2,2,0
1161,0,5.212,2,2,0
1289,0,20.285,2,2,0
1417,0,55.405,2,2,0
1673,0,177.606,6,4,1
1801,0,1478.226,4,2,0
1929,0,0.0,1,1,0
2057,0,26.075,2,2,0
2313,0,260.728,2,2,0
2441,0,154.942,2,2,0
2569,0,572.101,12,6,0
2697,0,169.56,3,1,0
2953,0,0.0,1,1,0
3081,0,2.28,2,1,0
3209,0,0.0,1,1,0
3337,0,0.0,1,1,0
3593,0,20.791,2,2,0
3721,0,0.0,1,1,0
3849,0,47.151,2,2,0
3977,0,52.446,2,2,0
4233,0,785.316,2,1,0
4361,0,333.095,3,2,0
4489,0,0.0,1,1,0
4617,0,0.0,1,1,0
4873,0,824.941,5,3,1
5001,0,48.699,4,2,0
5129,0,75.209,2,1,0
5257,0,601.311,4,4,0
5513,0,34.97,3,3,0
5641,0,742.995,4,4,0
5769,0,19.296,2,1,1
5897,0,1110.099,5,4,0
6153,0,286.494,8,2,0
6281,0,1038.141,2,1,1
6409,0,3666.847,9,3,1
6537,0,98.945,4,2,0
6793,0,376.434,3,2,0
6921,0,61.82,2,2,0
7049,0,70.578,5,5,0
7177,0,254.153,6,5,0
7433,0,611.223,4,2,0
7561,0,387.998,4,4,0
7689,0,30.944,2,1,0
7817,0,47.425,6,3,0
8073,0,1609.778,2,1,0
8201,0,118.967,2,2,0
8329,0,125.955,2,2,0
8457,0,360.305,4,4,0
8713,0,2.84,2,1,0
8841,0,9.61,2,1,0
8969,0,0.0,1,1,0
9097,0,175.765,4,2,1
9353,0,656.927,13,12,0
9481,0,160.961,4,4,0
9609,0,44.49,2,2,0
9737,0,0.0,1,1,0
9993,0,105.229,3,3,0
10121,0,102.276,3,3,0
10249,0,126.45,7,3,0
10377,0,35.301,2,2,0
10633,0,54.227,2,2,0
10761,0,1521.8,3,3,0
10889,0,1.202,2,1,0
11017,0,0.659,2,1,0
11273,0,67.624,2,2,0
11401,0,13.646,2,1,0
11529,0,71.472,3,3,0
11657,0,222.143,2,2,0
11913,0,189.055,2,1,0
12041,0,480.145,4,2,0
12169,0,350.284,2,2,0
12297,0,631.363,5,5,0
12553,0,326.797,6,6,0
12681,0,215.301,2,2,0
12809,0,63.854,3,3,0
12937,0,4041.874,14,13,0
13193,0,15.138,2,1,0
13321,0,119.311,3,3,0
13449,0,199.091,3,3,0
13577,0,1224.615,3,3,0
13833,0,0.0,1,1,0
13961,0,426.913,7,5,0
14089,0,48.445,2,1,1
14217,0,160.766,3,2,0
14473,0,517.094,11,9,0
14601,0,2.443,2,1,0
14729,0,51.424,3,3,0
14857,0,353.908,4,4,0
15113,0,199.683,3,2,0
15241,0,260.309,3,3,0
15369,0,236.478,5,2,0
15497,0,0.0,1,1,0
15753,0,108.709,5,4,0
15881,0,20.841,2,2,0
16009,0,55.069,3,2,0
16137,0,348.692,2,2,0
16393,0,2242.287,5,5,0
16521,0,50.605,2,2,0
16649,0,7498.214,18,11,0
16777,0,165.056,6,2,0
17033,0,148.786,3,3,0
17161,0,35.741,4,4,0
17289,0,192.665,3,3,0
17417,0,93.992,2,2,0
17673,0,248.519,2,2,0
17801,0,194.498,2,2,0
17929,0,217.907,16,5,1
18057,0,0.0,1,1,0
18313,0,276.091,3,2,0
18441,0,178.589,2,2,0
18569,0,39.054,2,2,0
18697,0,509.087,4,3,0
18953,0,2443.461,15,5,0
19081,0,244.181,4,2,0
19209,0,2523.635,4,1,1
19337,0,199.224,2,2,0
19593,0,1.244,2,1,0
19721,0,26.139,2,2,0
19849,0,1900.324,14,11,0
19977,0,181.755,4,4,0
20233,0,315.447,5,3,0
20361,0,129.335,6,3,0
20489,0,376.119,2,2,0
20617,0,297.245,2,2,0
20873,0,130.635,3,3,0
21001,0,77.035,2,2,0
21129,0,113.877,3,2,0
21257,0,261.325,3,3,0
21513,0,42.061,4,1,0
21641,0,23.505,2,1,1
21769,0,0.0,1,1,0
21897,0,543.611,2,1,0
22153,0,207.058,2,2,0
22281,0,122.259,2,2,0
22409,0,659.883,5,2,0
22537,0,178.933,4,4,0
22793,0,648.102,4,2,1
22921,0,1403.374,5,2,0
23049,0,57.13,3,2,0
23177,0,226.773,3,3,0
23433,0,63.853,2,2,0
23561,0,439.518,4,4,0
23689,0,180.989,6,5,0
23817,0,168.93,2,1,0
24073,0,213.772,3,3,0
24201,0,962.65,8,7,0
24329,0,268.001,7,5,0
24457,0,108.638,4,2,0
24713,0,0.0,1,1,0
24841,0,1160.78,4,2,0
24969,0,777.384,3,3,0
25097,0,51.592,2,2,0
25353,0,16.667,2,2,0
25481,0,86.006,3,3,0
25609,0,115.466,3,3,0
25737,0,138.019,3,2,0
25993,0,155.79,4,4,0
26121,0,2793.143,3,2,0
26249,0,656.058,13,9,0
26377,0,1096.192,3,2,0
26633,0,6.351,2,2,0
26761,0,156.093,4,3,0
26889,0,17.081,2,2,0
27017,0,264.891,2,2,0
27273,0,2316.873,2,2,0
27401,0,488.019,5,3,0
27529,0,0.0,1,1,0
27657,0,250.924,9,2,1
27913,0,212.426,5,5,0
28041,0,226.818,3,3,0
28169,0,115.327,2,1,0
28297,0,144.705,2,2,0
28553,0,44.849,2,2,0
28681,0,495.709,2,2,0
28809,0,913.793,3,2,1
28937,0,260.154,5,5,0
29193,0,78.921,2,1,0
29321,0,945.267,5,5,0
29449,0,144.425,3,3,0
29577,0,252.595,6,4,0
29833,0,426.845,4,3,0
29961,0,138.282,3,1,1
30089,0,108.423,4,3,0
30217,0,2.046,2,1,0
30473,0,947.771,4,4,0
30601,0,89.943,3,3,0
30729,0,59.591,2,2,0
30857,0,73.945,2,2,0
31113,0,345.58,4,4,0
31241,0,335.67,5,5,0
31369,0,58.948,2,2,0
31497,0,126.944,2,2,0
31753,0,40.285,3,3,0
31881,0,28.77,2,2,0
32009,0,283.455,2,2,0
32137,0,132.549,2,1,0
32393,0,709.932,6,3,1
32521,0,215.293,3,2,0
32649,0,212.727,2,2,0
32777,0,144.997,3,1,0
33033,0,21.117,2,2,0
33161,0,40.759,2,2,0
33289,0,72.678,2,2,0
33417,0,461.029,3,3,0
33673,0,81.585,2,2,0
33801,0,689.829,14,8,1
33929,0,884.74,6,4,0
34057,0,497.062,6,5,0
34313,0,114.394,2,2,0
34441,0,74.265,3,3,0
34569,0,3.309,2,1,0
34697,0,0.0,1,1,0
34953,0,16618.728,65,30,0
